id,task,job_role,complexity,task_type,creativity,human_interaction,time_taken,frequency,skill_level,Associated_Skills,Tools,Technologies,Job_Description,Automation_Risk,Tasks,Mapped_Skills,Creativity_Required,Risk_Label
436,Automate infrastructure,Machine Learning Engineer,Medium,Creative,Low,Moderate,<1 hour,Daily,Advanced,"Node.js, Python, SQL","MySQL, Jira","AI, DevOps","As a Machine Learning Engineer, your responsibilities include Automate infrastructure. You'll utilize skills such as Node.js, Python, SQL and work with tools like MySQL, Jira. This role often involves technologies like AI, DevOps.",Medium Risk,"['as a machine learning engineer your responsibilities include automate infrastructure', 'youll utilize skills such as node', 'js python sql and work with tools like mysql jira', 'this role often involves technologies like ai devops']","['other', 'other', 'teamwork', 'other']",False,1
437,Define product roadmaps,Machine Learning Engineer,Low,Managerial,Low,Low,1-3 hours,Monthly,Beginner,"SQL, Git, Python","Tableau, Jira","Web Development, DevOps, AI","As a Machine Learning Engineer, your responsibilities include Define product roadmaps. You'll utilize skills such as SQL, Git, Python and work with tools like Tableau, Jira. This role often involves technologies like Web Development, DevOps, AI.",Low Risk,"['as a machine learning engineer your responsibilities include define product roadmaps', 'youll utilize skills such as sql git python and work with tools like tableau jira', 'this role often involves technologies like web development devops ai']","['other', 'teamwork', 'technical skills']",False,0
438,Automate infrastructure,QA Engineer,Low,Technical,Low,High,Full-day,Monthly,Intermediate,"Docker, Node.js",MySQL,AI,"As a QA Engineer, your responsibilities include Automate infrastructure. You'll utilize skills such as Docker, Node.js and work with tools like MySQL. This role often involves technologies like AI.",Medium Risk,"['as a qa engineer your responsibilities include automate infrastructure', 'youll utilize skills such as docker node', 'js and work with tools like mysql', 'this role often involves technologies like ai']","['other', 'other', 'teamwork', 'other']",False,1
439,Design APIs,UI/UX Designer,Medium,Creative,High,Low,Half-day,Monthly,Advanced,"Git, TensorFlow, React","Slack, VS Code","AI, Web Development, Big Data","As a UI/UX Designer, your responsibilities include Design APIs. You'll utilize skills such as Git, TensorFlow, React and work with tools like Slack, VS Code. This role often involves technologies like AI, Web Development, Big Data.",Medium Risk,"['as a uiux designer your responsibilities include design apis', 'youll utilize skills such as git tensorflow react and work with tools like slack vs code', 'this role often involves technologies like ai web development big data']","['technical skills', 'teamwork, technical skills', 'technical skills']",True,1
440,Perform code reviews,Product Manager,Low,Managerial,Low,Low,<1 hour,Occasionally,Beginner,"Node.js, TensorFlow, Docker, Git, Python",Tableau,Web Development,"As a Product Manager, your responsibilities include Perform code reviews. You'll utilize skills such as Node.js, TensorFlow, Docker, Git, Python and work with tools like Tableau. This role often involves technologies like Web Development.",Low Risk,"['as a product manager your responsibilities include perform code reviews', 'youll utilize skills such as node', 'js tensorflow docker git python and work with tools like tableau', 'this role often involves technologies like web development']","['technical skills', 'other', 'teamwork', 'technical skills']",False,0
441,Manage database operations,Software Engineer,Low,Technical,Moderate,,<1 hour,Monthly,Beginner,"Agile, SQL","MongoDB, Jira, Slack","Big Data, Web Development","As a Software Engineer, your responsibilities include Manage database operations. You'll utilize skills such as Agile, SQL and work with tools like MongoDB, Jira, Slack. This role often involves technologies like Big Data, Web Development.",Medium Risk,"['as a software engineer your responsibilities include manage database operations', 'youll utilize skills such as agile sql and work with tools like mongodb jira slack', 'this role often involves technologies like big data web development']","['other', 'teamwork', 'technical skills']",False,1
442,Design wireframes and prototypes,Product Manager,High,Creative,Moderate,High,<1 hour,Monthly,Beginner,"TensorFlow, Python, JavaScript, Node.js","MySQL, AWS, Tableau",Web Development,"As a Product Manager, your responsibilities include Design wireframes and prototypes. You'll utilize skills such as TensorFlow, Python, JavaScript, Node.js and work with tools like MySQL, AWS, Tableau. This role often involves technologies like Web Development.",Low Risk,"['as a product manager your responsibilities include design wireframes and prototypes', 'youll utilize skills such as tensorflow python javascript node', 'js and work with tools like mysql aws tableau', 'this role often involves technologies like web development']","['technical skills', 'other', 'teamwork', 'technical skills']",True,0
443,Write and execute test cases,Machine Learning Engineer,Medium,Managerial,Low,Moderate,<1 hour,Daily,Advanced,"SQL, Agile","MongoDB, Jira, VS Code","AI, Web Development","As a Machine Learning Engineer, your responsibilities include Write and execute test cases. You'll utilize skills such as SQL, Agile and work with tools like MongoDB, Jira, VS Code. This role often involves technologies like AI, Web Development.",Medium Risk,"['as a machine learning engineer your responsibilities include write and execute test cases', 'youll utilize skills such as sql agile and work with tools like mongodb jira vs code', 'this role often involves technologies like ai web development']","['other', 'teamwork, technical skills', 'technical skills']",False,1
444,Conduct user research,Machine Learning Engineer,Low,Managerial,High,Moderate,Full-day,Occasionally,Advanced,"Python, React, Node.js, Agile, Docker",Slack,"Big Data, Cloud Computing","As a Machine Learning Engineer, your responsibilities include Conduct user research. You'll utilize skills such as Python, React, Node.js, Agile, Docker and work with tools like Slack. This role often involves technologies like Big Data, Cloud Computing.",Low Risk,"['as a machine learning engineer your responsibilities include conduct user research', 'youll utilize skills such as python react node', 'js agile docker and work with tools like slack', 'this role often involves technologies like big data cloud computing']","['other', 'other', 'teamwork', 'other']",False,0
445,Write and debug code,DevOps Engineer,High,Managerial,Low,,Half-day,Monthly,Intermediate,"TensorFlow, JavaScript, Python, SQL, React",MongoDB,DevOps,"As a DevOps Engineer, your responsibilities include Write and debug code. You'll utilize skills such as TensorFlow, JavaScript, Python, SQL, React and work with tools like MongoDB. This role often involves technologies like DevOps.",Medium Risk,"['as a devops engineer your responsibilities include write and debug code', 'youll utilize skills such as tensorflow javascript python sql react and work with tools like mongodb', 'this role often involves technologies like devops']","['problem-solving, technical skills', 'teamwork', 'other']",False,1
446,Conduct user research,QA Engineer,Medium,Technical,High,,Half-day,Daily,Advanced,"Agile, Node.js","Jira, VS Code","Web Development, DevOps, Cloud Computing","As a QA Engineer, your responsibilities include Conduct user research. You'll utilize skills such as Agile, Node.js and work with tools like Jira, VS Code. This role often involves technologies like Web Development, DevOps, Cloud Computing.",Medium Risk,"['as a qa engineer your responsibilities include conduct user research', 'youll utilize skills such as agile node', 'js and work with tools like jira vs code', 'this role often involves technologies like web development devops cloud computing']","['other', 'other', 'teamwork, technical skills', 'technical skills']",False,1
447,Write and debug code,Backend Developer,Medium,Creative,High,Moderate,<1 hour,Daily,Advanced,"JavaScript, React, Git, Agile","Tableau, Postman, AWS","AI, Cloud Computing","As a Backend Developer, your responsibilities include Write and debug code. You'll utilize skills such as JavaScript, React, Git, Agile and work with tools like Tableau, Postman, AWS. This role often involves technologies like AI, Cloud Computing.",Medium Risk,"['as a backend developer your responsibilities include write and debug code', 'youll utilize skills such as javascript react git agile and work with tools like tableau postman aws', 'this role often involves technologies like ai cloud computing']","['problem-solving, technical skills', 'teamwork', 'other']",False,1
448,Define product roadmaps,DevOps Engineer,High,Technical,High,,<1 hour,Daily,Intermediate,"Python, TensorFlow, Agile, SQL, Git","VS Code, MongoDB, AWS",DevOps,"As a DevOps Engineer, your responsibilities include Define product roadmaps. You'll utilize skills such as Python, TensorFlow, Agile, SQL, Git and work with tools like VS Code, MongoDB, AWS. This role often involves technologies like DevOps.",Medium Risk,"['as a devops engineer your responsibilities include define product roadmaps', 'youll utilize skills such as python tensorflow agile sql git and work with tools like vs code mongodb aws', 'this role often involves technologies like devops']","['other', 'teamwork, technical skills', 'other']",False,1
449,Define product roadmaps,DevOps Engineer,Medium,Managerial,Low,Low,<1 hour,Daily,Advanced,"Python, JavaScript, Git, Node.js, Agile","MongoDB, Slack",DevOps,"As a DevOps Engineer, your responsibilities include Define product roadmaps. You'll utilize skills such as Python, JavaScript, Git, Node.js, Agile and work with tools like MongoDB, Slack. This role often involves technologies like DevOps.",Medium Risk,"['as a devops engineer your responsibilities include define product roadmaps', 'youll utilize skills such as python javascript git node', 'js agile and work with tools like mongodb slack', 'this role often involves technologies like devops']","['other', 'other', 'teamwork', 'other']",False,1
450,Manage database operations,Data Scientist,Medium,Managerial,Moderate,High,1-3 hours,Daily,Beginner,"Node.js, SQL","MySQL, MongoDB","Cloud Computing, Big Data","As a Data Scientist, your responsibilities include Manage database operations. You'll utilize skills such as Node.js, SQL and work with tools like MySQL, MongoDB. This role often involves technologies like Cloud Computing, Big Data.",Medium Risk,"['as a data scientist your responsibilities include manage database operations', 'youll utilize skills such as node', 'js sql and work with tools like mysql mongodb', 'this role often involves technologies like cloud computing big data']","['other', 'other', 'teamwork', 'other']",False,1
451,Write and debug code,Data Scientist,Low,Creative,Moderate,Low,Half-day,Occasionally,Intermediate,"Python, TensorFlow, JavaScript, Node.js","Jira, Tableau, MongoDB","Cloud Computing, Big Data, AI","As a Data Scientist, your responsibilities include Write and debug code. You'll utilize skills such as Python, TensorFlow, JavaScript, Node.js and work with tools like Jira, Tableau, MongoDB. This role often involves technologies like Cloud Computing, Big Data, AI.",Medium Risk,"['as a data scientist your responsibilities include write and debug code', 'youll utilize skills such as python tensorflow javascript node', 'js and work with tools like jira tableau mongodb', 'this role often involves technologies like cloud computing big data ai']","['problem-solving, technical skills', 'other', 'teamwork', 'other']",False,1
452,Define product roadmaps,Frontend Developer,Medium,Managerial,Moderate,,Full-day,Daily,Intermediate,"Agile, Git, SQL, React, JavaScript","Slack, MongoDB","Cloud Computing, Web Development","As a Frontend Developer, your responsibilities include Define product roadmaps. You'll utilize skills such as Agile, Git, SQL, React, JavaScript and work with tools like Slack, MongoDB. This role often involves technologies like Cloud Computing, Web Development.",Medium Risk,"['as a frontend developer your responsibilities include define product roadmaps', 'youll utilize skills such as agile git sql react javascript and work with tools like slack mongodb', 'this role often involves technologies like cloud computing web development']","['technical skills', 'teamwork', 'technical skills']",False,1
453,Define product roadmaps,Data Scientist,Medium,Managerial,Low,,Half-day,Daily,Intermediate,"SQL, Agile, Node.js, React",VS Code,"Web Development, Cloud Computing, Big Data","As a Data Scientist, your responsibilities include Define product roadmaps. You'll utilize skills such as SQL, Agile, Node.js, React and work with tools like VS Code. This role often involves technologies like Web Development, Cloud Computing, Big Data.",Medium Risk,"['as a data scientist your responsibilities include define product roadmaps', 'youll utilize skills such as sql agile node', 'js react and work with tools like vs code', 'this role often involves technologies like web development cloud computing big data']","['other', 'other', 'teamwork, technical skills', 'technical skills']",False,1
454,Build predictive models,Full Stack Developer,Medium,Technical,High,Moderate,<1 hour,Weekly,Beginner,"TensorFlow, Python, SQL, React, Agile","Jira, AWS, MongoDB",Web Development,"As a Full Stack Developer, your responsibilities include Build predictive models. You'll utilize skills such as TensorFlow, Python, SQL, React, Agile and work with tools like Jira, AWS, MongoDB. This role often involves technologies like Web Development.",Medium Risk,"['as a full stack developer your responsibilities include build predictive models', 'youll utilize skills such as tensorflow python sql react agile and work with tools like jira aws mongodb', 'this role often involves technologies like web development']","['technical skills', 'teamwork', 'technical skills']",False,1
455,Build predictive models,UI/UX Designer,High,Creative,Moderate,Low,Half-day,Weekly,Advanced,"React, Agile, Git, SQL",MongoDB,Web Development,"As a UI/UX Designer, your responsibilities include Build predictive models. You'll utilize skills such as React, Agile, Git, SQL and work with tools like MongoDB. This role often involves technologies like Web Development.",Medium Risk,"['as a uiux designer your responsibilities include build predictive models', 'youll utilize skills such as react agile git sql and work with tools like mongodb', 'this role often involves technologies like web development']","['technical skills', 'teamwork', 'technical skills']",True,1
456,Perform code reviews,UI/UX Designer,Low,Managerial,Low,Low,1-3 hours,Weekly,Intermediate,"Node.js, React, Git, Docker","VS Code, Postman, MySQL",DevOps,"As a UI/UX Designer, your responsibilities include Perform code reviews. You'll utilize skills such as Node.js, React, Git, Docker and work with tools like VS Code, Postman, MySQL. This role often involves technologies like DevOps.",Medium Risk,"['as a uiux designer your responsibilities include perform code reviews', 'youll utilize skills such as node', 'js react git docker and work with tools like vs code postman mysql', 'this role often involves technologies like devops']","['technical skills', 'other', 'teamwork, technical skills', 'other']",True,1
457,Monitor system performance,UI/UX Designer,Low,Managerial,Moderate,Moderate,Half-day,Occasionally,Beginner,"SQL, React, Node.js",Postman,"Big Data, Web Development, Cloud Computing","As a UI/UX Designer, your responsibilities include Monitor system performance. You'll utilize skills such as SQL, React, Node.js and work with tools like Postman. This role often involves technologies like Big Data, Web Development, Cloud Computing.",Low Risk,"['as a uiux designer your responsibilities include monitor system performance', 'youll utilize skills such as sql react node', 'js and work with tools like postman', 'this role often involves technologies like big data web development cloud computing']","['technical skills', 'other', 'teamwork', 'technical skills']",True,0
458,Monitor system performance,Backend Developer,Low,Creative,Low,,1-3 hours,Weekly,Advanced,"Python, Agile, TensorFlow, SQL, Node.js","Tableau, MongoDB",DevOps,"As a Backend Developer, your responsibilities include Monitor system performance. You'll utilize skills such as Python, Agile, TensorFlow, SQL, Node.js and work with tools like Tableau, MongoDB. This role often involves technologies like DevOps.",Medium Risk,"['as a backend developer your responsibilities include monitor system performance', 'youll utilize skills such as python agile tensorflow sql node', 'js and work with tools like tableau mongodb', 'this role often involves technologies like devops']","['technical skills', 'other', 'teamwork', 'other']",False,1
459,Manage database operations,Data Scientist,Low,Technical,Low,Low,1-3 hours,Weekly,Intermediate,"JavaScript, Docker, Agile, Node.js, Git","Jira, MongoDB",Web Development,"As a Data Scientist, your responsibilities include Manage database operations. You'll utilize skills such as JavaScript, Docker, Agile, Node.js, Git and work with tools like Jira, MongoDB. This role often involves technologies like Web Development.",Medium Risk,"['as a data scientist your responsibilities include manage database operations', 'youll utilize skills such as javascript docker agile node', 'js git and work with tools like jira mongodb', 'this role often involves technologies like web development']","['other', 'other', 'teamwork', 'technical skills']",False,1
460,Define product roadmaps,Backend Developer,Low,Managerial,Moderate,Low,<1 hour,Monthly,Advanced,"Git, Docker, Agile, React, Python","AWS, Postman, Tableau",Big Data,"As a Backend Developer, your responsibilities include Define product roadmaps. You'll utilize skills such as Git, Docker, Agile, React, Python and work with tools like AWS, Postman, Tableau. This role often involves technologies like Big Data.",Low Risk,"['as a backend developer your responsibilities include define product roadmaps', 'youll utilize skills such as git docker agile react python and work with tools like aws postman tableau', 'this role often involves technologies like big data']","['technical skills', 'teamwork', 'other']",False,0
461,Develop user interfaces,Data Scientist,Low,Technical,Low,Low,Full-day,Daily,Advanced,"Docker, Agile, SQL","AWS, MongoDB, Tableau","AI, DevOps","As a Data Scientist, your responsibilities include Develop user interfaces. You'll utilize skills such as Docker, Agile, SQL and work with tools like AWS, MongoDB, Tableau. This role often involves technologies like AI, DevOps.",Medium Risk,"['as a data scientist your responsibilities include develop user interfaces', 'youll utilize skills such as docker agile sql and work with tools like aws mongodb tableau', 'this role often involves technologies like ai devops']","['technical skills', 'teamwork', 'other']",False,1
462,Build predictive models,Software Engineer,High,Technical,Low,Moderate,1-3 hours,Daily,Beginner,"Git, React","AWS, VS Code","AI, DevOps","As a Software Engineer, your responsibilities include Build predictive models. You'll utilize skills such as Git, React and work with tools like AWS, VS Code. This role often involves technologies like AI, DevOps.",Medium Risk,"['as a software engineer your responsibilities include build predictive models', 'youll utilize skills such as git react and work with tools like aws vs code', 'this role often involves technologies like ai devops']","['other', 'teamwork, technical skills', 'other']",False,1
463,Develop user interfaces,Product Manager,Medium,Technical,High,Low,1-3 hours,Weekly,Advanced,"React, Agile","MySQL, VS Code, AWS",AI,"As a Product Manager, your responsibilities include Develop user interfaces. You'll utilize skills such as React, Agile and work with tools like MySQL, VS Code, AWS. This role often involves technologies like AI.",Medium Risk,"['as a product manager your responsibilities include develop user interfaces', 'youll utilize skills such as react agile and work with tools like mysql vs code aws', 'this role often involves technologies like ai']","['technical skills', 'teamwork, technical skills', 'other']",False,1
464,Optimize algorithms,QA Engineer,High,Creative,Moderate,,Half-day,Monthly,Advanced,"Python, SQL, Agile, Git, React","Jira, MongoDB","AI, Web Development","As a QA Engineer, your responsibilities include Optimize algorithms. You'll utilize skills such as Python, SQL, Agile, Git, React and work with tools like Jira, MongoDB. This role often involves technologies like AI, Web Development.",Low Risk,"['as a qa engineer your responsibilities include optimize algorithms', 'youll utilize skills such as python sql agile git react and work with tools like jira mongodb', 'this role often involves technologies like ai web development']","['problem-solving', 'teamwork', 'technical skills']",False,0
465,Build predictive models,Backend Developer,High,Managerial,High,Low,Full-day,Weekly,Advanced,"TensorFlow, Python, SQL, JavaScript","Tableau, MySQL","Web Development, AI, Big Data","As a Backend Developer, your responsibilities include Build predictive models. You'll utilize skills such as TensorFlow, Python, SQL, JavaScript and work with tools like Tableau, MySQL. This role often involves technologies like Web Development, AI, Big Data.",Medium Risk,"['as a backend developer your responsibilities include build predictive models', 'youll utilize skills such as tensorflow python sql javascript and work with tools like tableau mysql', 'this role often involves technologies like web development ai big data']","['technical skills', 'teamwork', 'technical skills']",False,1
466,Test applications end-to-end,DevOps Engineer,Low,Technical,Moderate,High,Half-day,Occasionally,Advanced,"TensorFlow, Git, Node.js, Agile, Docker","MySQL, Slack","Big Data, Web Development, Cloud Computing","As a DevOps Engineer, your responsibilities include Test applications end-to-end. You'll utilize skills such as TensorFlow, Git, Node.js, Agile, Docker and work with tools like MySQL, Slack. This role often involves technologies like Big Data, Web Development, Cloud Computing.",Medium Risk,"['as a devops engineer your responsibilities include test applications endtoend', 'youll utilize skills such as tensorflow git node', 'js agile docker and work with tools like mysql slack', 'this role often involves technologies like big data web development cloud computing']","['other', 'other', 'teamwork', 'technical skills']",False,1
467,Develop user interfaces,Machine Learning Engineer,Medium,Managerial,High,Moderate,<1 hour,Monthly,Beginner,"Python, JavaScript, SQL, Agile, Node.js",Slack,"Web Development, Cloud Computing, AI","As a Machine Learning Engineer, your responsibilities include Develop user interfaces. You'll utilize skills such as Python, JavaScript, SQL, Agile, Node.js and work with tools like Slack. This role often involves technologies like Web Development, Cloud Computing, AI.",Medium Risk,"['as a machine learning engineer your responsibilities include develop user interfaces', 'youll utilize skills such as python javascript sql agile node', 'js and work with tools like slack', 'this role often involves technologies like web development cloud computing ai']","['technical skills', 'other', 'teamwork', 'technical skills']",False,1
468,Design wireframes and prototypes,Machine Learning Engineer,Low,Creative,Low,,1-3 hours,Monthly,Beginner,"Agile, Node.js, Docker",Tableau,"Web Development, Cloud Computing","As a Machine Learning Engineer, your responsibilities include Design wireframes and prototypes. You'll utilize skills such as Agile, Node.js, Docker and work with tools like Tableau. This role often involves technologies like Web Development, Cloud Computing.",Low Risk,"['as a machine learning engineer your responsibilities include design wireframes and prototypes', 'youll utilize skills such as agile node', 'js docker and work with tools like tableau', 'this role often involves technologies like web development cloud computing']","['technical skills', 'other', 'teamwork', 'technical skills']",True,0
469,Define product roadmaps,QA Engineer,Low,Technical,High,High,Half-day,Daily,Beginner,"Python, JavaScript, Agile",AWS,"Big Data, AI","As a QA Engineer, your responsibilities include Define product roadmaps. You'll utilize skills such as Python, JavaScript, Agile and work with tools like AWS. This role often involves technologies like Big Data, AI.",Medium Risk,"['as a qa engineer your responsibilities include define product roadmaps', 'youll utilize skills such as python javascript agile and work with tools like aws', 'this role often involves technologies like big data ai']","['other', 'teamwork', 'other']",False,1
470,Train and fine-tune models,QA Engineer,Low,Technical,Low,,1-3 hours,Monthly,Beginner,"Git, JavaScript, Python, SQL","MongoDB, Jira","AI, Web Development, Cloud Computing","As a QA Engineer, your responsibilities include Train and fine-tune models. You'll utilize skills such as Git, JavaScript, Python, SQL and work with tools like MongoDB, Jira. This role often involves technologies like AI, Web Development, Cloud Computing.",Medium Risk,"['as a qa engineer your responsibilities include train and finetune models', 'youll utilize skills such as git javascript python sql and work with tools like mongodb jira', 'this role often involves technologies like ai web development cloud computing']","['other', 'teamwork', 'technical skills']",False,1
471,Analyze and clean data,Backend Developer,High,Managerial,High,,Half-day,Weekly,Advanced,"Docker, Agile, TensorFlow","Tableau, Postman",Web Development,"As a Backend Developer, your responsibilities include Analyze and clean data. You'll utilize skills such as Docker, Agile, TensorFlow and work with tools like Tableau, Postman. This role often involves technologies like Web Development.",Medium Risk,"['as a backend developer your responsibilities include analyze and clean data', 'youll utilize skills such as docker agile tensorflow and work with tools like tableau postman', 'this role often involves technologies like web development']","['problem-solving, technical skills', 'teamwork', 'technical skills']",False,1
472,Manage database operations,Product Manager,High,Creative,Low,,<1 hour,Monthly,Advanced,"Docker, SQL, JavaScript",MongoDB,"AI, DevOps, Web Development","As a Product Manager, your responsibilities include Manage database operations. You'll utilize skills such as Docker, SQL, JavaScript and work with tools like MongoDB. This role often involves technologies like AI, DevOps, Web Development.",Low Risk,"['as a product manager your responsibilities include manage database operations', 'youll utilize skills such as docker sql javascript and work with tools like mongodb', 'this role often involves technologies like ai devops web development']","['other', 'teamwork', 'technical skills']",False,0
473,Write and debug code,Frontend Developer,High,Managerial,Low,High,<1 hour,Weekly,Beginner,"Git, Node.js, Docker",MySQL,DevOps,"As a Frontend Developer, your responsibilities include Write and debug code. You'll utilize skills such as Git, Node.js, Docker and work with tools like MySQL. This role often involves technologies like DevOps.",Medium Risk,"['as a frontend developer your responsibilities include write and debug code', 'youll utilize skills such as git node', 'js docker and work with tools like mysql', 'this role often involves technologies like devops']","['problem-solving, technical skills', 'other', 'teamwork', 'other']",False,1
474,Perform code reviews,Frontend Developer,Medium,Technical,Low,High,Full-day,Occasionally,Advanced,"Docker, Git, TensorFlow","MongoDB, MySQL, Tableau","AI, Cloud Computing, DevOps","As a Frontend Developer, your responsibilities include Perform code reviews. You'll utilize skills such as Docker, Git, TensorFlow and work with tools like MongoDB, MySQL, Tableau. This role often involves technologies like AI, Cloud Computing, DevOps.",Medium Risk,"['as a frontend developer your responsibilities include perform code reviews', 'youll utilize skills such as docker git tensorflow and work with tools like mongodb mysql tableau', 'this role often involves technologies like ai cloud computing devops']","['technical skills', 'teamwork', 'other']",False,1
475,Manage database operations,Backend Developer,High,Creative,Low,,<1 hour,Monthly,Advanced,"Python, Git, Agile","Jira, Tableau, Slack","AI, Cloud Computing","As a Backend Developer, your responsibilities include Manage database operations. You'll utilize skills such as Python, Git, Agile and work with tools like Jira, Tableau, Slack. This role often involves technologies like AI, Cloud Computing.",Low Risk,"['as a backend developer your responsibilities include manage database operations', 'youll utilize skills such as python git agile and work with tools like jira tableau slack', 'this role often involves technologies like ai cloud computing']","['technical skills', 'teamwork', 'other']",False,0
476,Build predictive models,Software Engineer,Medium,Creative,High,,1-3 hours,Daily,Intermediate,"Git, Python","Postman, MySQL, AWS","Big Data, AI","As a Software Engineer, your responsibilities include Build predictive models. You'll utilize skills such as Git, Python and work with tools like Postman, MySQL, AWS. This role often involves technologies like Big Data, AI.",Medium Risk,"['as a software engineer your responsibilities include build predictive models', 'youll utilize skills such as git python and work with tools like postman mysql aws', 'this role often involves technologies like big data ai']","['other', 'teamwork', 'other']",False,1
477,Design APIs,DevOps Engineer,Low,Technical,Moderate,Moderate,Full-day,Weekly,Intermediate,"Docker, React, Git, JavaScript, TensorFlow","MongoDB, Postman, AWS","Cloud Computing, DevOps","As a DevOps Engineer, your responsibilities include Design APIs. You'll utilize skills such as Docker, React, Git, JavaScript, TensorFlow and work with tools like MongoDB, Postman, AWS. This role often involves technologies like Cloud Computing, DevOps.",Medium Risk,"['as a devops engineer your responsibilities include design apis', 'youll utilize skills such as docker react git javascript tensorflow and work with tools like mongodb postman aws', 'this role often involves technologies like cloud computing devops']","['technical skills', 'teamwork', 'other']",True,1
478,Automate infrastructure,QA Engineer,Medium,Technical,High,,Half-day,Daily,Advanced,"React, Git","Slack, MySQL, AWS",AI,"As a QA Engineer, your responsibilities include Automate infrastructure. You'll utilize skills such as React, Git and work with tools like Slack, MySQL, AWS. This role often involves technologies like AI.",Medium Risk,"['as a qa engineer your responsibilities include automate infrastructure', 'youll utilize skills such as react git and work with tools like slack mysql aws', 'this role often involves technologies like ai']","['other', 'teamwork', 'other']",False,1
479,Write and execute test cases,Data Scientist,Medium,Creative,Moderate,High,Half-day,Weekly,Advanced,"Docker, Agile","MySQL, Jira, Tableau","Big Data, AI","As a Data Scientist, your responsibilities include Write and execute test cases. You'll utilize skills such as Docker, Agile and work with tools like MySQL, Jira, Tableau. This role often involves technologies like Big Data, AI.",Medium Risk,"['as a data scientist your responsibilities include write and execute test cases', 'youll utilize skills such as docker agile and work with tools like mysql jira tableau', 'this role often involves technologies like big data ai']","['other', 'teamwork', 'other']",False,1
480,Optimize algorithms,Full Stack Developer,Low,Technical,High,Moderate,1-3 hours,Monthly,Beginner,"Agile, Node.js, Python, TensorFlow","Slack, VS Code, Tableau",DevOps,"As a Full Stack Developer, your responsibilities include Optimize algorithms. You'll utilize skills such as Agile, Node.js, Python, TensorFlow and work with tools like Slack, VS Code, Tableau. This role often involves technologies like DevOps.",Medium Risk,"['as a full stack developer your responsibilities include optimize algorithms', 'youll utilize skills such as agile node', 'js python tensorflow and work with tools like slack vs code tableau', 'this role often involves technologies like devops']","['problem-solving, technical skills', 'other', 'teamwork, technical skills', 'other']",False,1
481,Build predictive models,Full Stack Developer,Medium,Managerial,High,High,1-3 hours,Daily,Advanced,"React, Git, Agile, TensorFlow","VS Code, Postman, Jira","DevOps, Big Data, Cloud Computing","As a Full Stack Developer, your responsibilities include Build predictive models. You'll utilize skills such as React, Git, Agile, TensorFlow and work with tools like VS Code, Postman, Jira. This role often involves technologies like DevOps, Big Data, Cloud Computing.",Medium Risk,"['as a full stack developer your responsibilities include build predictive models', 'youll utilize skills such as react git agile tensorflow and work with tools like vs code postman jira', 'this role often involves technologies like devops big data cloud computing']","['technical skills', 'teamwork, technical skills', 'other']",False,1
482,Manage database operations,QA Engineer,High,Technical,Low,Moderate,<1 hour,Weekly,Beginner,"Python, SQL","Slack, Jira","AI, DevOps","As a QA Engineer, your responsibilities include Manage database operations. You'll utilize skills such as Python, SQL and work with tools like Slack, Jira. This role often involves technologies like AI, DevOps.",Medium Risk,"['as a qa engineer your responsibilities include manage database operations', 'youll utilize skills such as python sql and work with tools like slack jira', 'this role often involves technologies like ai devops']","['other', 'teamwork', 'other']",False,1
483,Monitor system performance,Machine Learning Engineer,Low,Managerial,High,High,<1 hour,Monthly,Advanced,"Agile, Docker, Python, Node.js",Tableau,"Cloud Computing, AI, DevOps","As a Machine Learning Engineer, your responsibilities include Monitor system performance. You'll utilize skills such as Agile, Docker, Python, Node.js and work with tools like Tableau. This role often involves technologies like Cloud Computing, AI, DevOps.",Low Risk,"['as a machine learning engineer your responsibilities include monitor system performance', 'youll utilize skills such as agile docker python node', 'js and work with tools like tableau', 'this role often involves technologies like cloud computing ai devops']","['other', 'other', 'teamwork', 'other']",False,0
484,Design APIs,UI/UX Designer,Medium,Technical,Low,,Full-day,Monthly,Intermediate,"TensorFlow, Python, React",MongoDB,Web Development,"As a UI/UX Designer, your responsibilities include Design APIs. You'll utilize skills such as TensorFlow, Python, React and work with tools like MongoDB. This role often involves technologies like Web Development.",Medium Risk,"['as a uiux designer your responsibilities include design apis', 'youll utilize skills such as tensorflow python react and work with tools like mongodb', 'this role often involves technologies like web development']","['technical skills', 'teamwork', 'technical skills']",True,1
485,Build predictive models,UI/UX Designer,Medium,Technical,Low,,1-3 hours,Monthly,Advanced,"Git, TensorFlow, Node.js, Docker, JavaScript","Slack, Jira","AI, DevOps","As a UI/UX Designer, your responsibilities include Build predictive models. You'll utilize skills such as Git, TensorFlow, Node.js, Docker, JavaScript and work with tools like Slack, Jira. This role often involves technologies like AI, DevOps.",Medium Risk,"['as a uiux designer your responsibilities include build predictive models', 'youll utilize skills such as git tensorflow node', 'js docker javascript and work with tools like slack jira', 'this role often involves technologies like ai devops']","['technical skills', 'other', 'teamwork', 'other']",True,1
486,Build predictive models,Backend Developer,Medium,Creative,High,,Half-day,Occasionally,Beginner,"SQL, Python, Git, TensorFlow, Docker",Postman,Web Development,"As a Backend Developer, your responsibilities include Build predictive models. You'll utilize skills such as SQL, Python, Git, TensorFlow, Docker and work with tools like Postman. This role often involves technologies like Web Development.",Medium Risk,"['as a backend developer your responsibilities include build predictive models', 'youll utilize skills such as sql python git tensorflow docker and work with tools like postman', 'this role often involves technologies like web development']","['technical skills', 'teamwork', 'technical skills']",False,1
