job_role,skill
Frontend Developer,"JavaScript, Python, Git, Docker, TensorFlow"
Frontend Developer,"React, SQL, TensorFlow, Git, Python"
Software Engineer,"Python, Node.js"
Full Stack Developer,"TensorFlow, Node.js, React, Docker"
QA Engineer,"Node.js, JavaScript, SQL, Git, Agile"
Machine Learning Engineer,"Agile, JavaScript, Git, Node.js, Docker"
DevOps Engineer,"Git, Docker, SQL, Python, TensorFlow"
UI/UX Designer,"Git, SQL, Agile"
Frontend Developer,"React, Agile, Docker, TensorFlow"
Backend Developer,"Python, JavaScript, Git"
Full Stack Developer,"Python, Git, React, Docker, JavaScript"
Frontend Developer,"React, SQL, Git, Agile"
DevOps Engineer,"Agile, Git, JavaScript"
UI/UX Designer,"TensorFlow, JavaScript, Agile, Node.js"
QA Engineer,"Git, Node.js, SQL, Agile, JavaScript"
Software Engineer,"TensorFlow, Git, Docker"
QA Engineer,"Node.js, Python, TensorFlow, React, SQL"
Product Manager,"Docker, TensorFlow, Python"
Product Manager,"Git, Python, Node.js"
Data Scientist,"JavaScript, Git, Docker, Node.js"
QA Engineer,"Agile, React"
Data Scientist,"SQL, Python, TensorFlow, React"
Machine Learning Engineer,"Git, React, Docker, SQL, Agile"
Software Engineer,"JavaScript, Python, Git"
DevOps Engineer,"JavaScript, Python"
DevOps Engineer,"Python, SQL, React, Agile"
Full Stack Developer,"SQL, TensorFlow, Agile"
Frontend Developer,"Python, Agile, React"
Full Stack Developer,"Node.js, JavaScript, TensorFlow, Python, Agile"
Machine Learning Engineer,"Agile, Git, TensorFlow, Python, React"
DevOps Engineer,"TensorFlow, Agile"
Product Manager,"Docker, Node.js"
Full Stack Developer,"Python, Docker, TensorFlow"
Machine Learning Engineer,"Agile, TensorFlow, React, SQL"
Data Scientist,"Git, Python, Agile, Node.js, TensorFlow"
DevOps Engineer,"TensorFlow, SQL, JavaScript, Agile, Python"
Machine Learning Engineer,"Docker, SQL"
Full Stack Developer,"Docker, TensorFlow, Git"
Machine Learning Engineer,"SQL, React, Git"
Full Stack Developer,"Node.js, React, JavaScript, TensorFlow, SQL"
QA Engineer,"Node.js, JavaScript, React, SQL"
UI/UX Designer,"React, SQL, TensorFlow, Agile, Git"
Product Manager,"JavaScript, SQL, React"
Full Stack Developer,"SQL, Python"
Machine Learning Engineer,"Node.js, Python"
Full Stack Developer,"TensorFlow, Agile, Python, Docker"
Machine Learning Engineer,"SQL, JavaScript, Node.js, Git"
Machine Learning Engineer,"SQL, React, Node.js, Agile"
Frontend Developer,"SQL, Agile, Git"
Software Engineer,"React, TensorFlow"
Machine Learning Engineer,"Python, Node.js, JavaScript, Docker, Git"
Machine Learning Engineer,"Python, Git"
Backend Developer,"Docker, JavaScript, SQL, Python"
Product Manager,"JavaScript, React, SQL"
Backend Developer,"React, Docker, Python, Agile"
Frontend Developer,"SQL, Agile, Node.js, Git"
Frontend Developer,"JavaScript, React"
Full Stack Developer,"Docker, Node.js"
QA Engineer,"Python, TensorFlow"
UI/UX Designer,"TensorFlow, Docker"
Software Engineer,"Node.js, JavaScript, SQL, Docker"
Product Manager,"Git, JavaScript"
Product Manager,"Agile, TensorFlow, Node.js, React"
Software Engineer,"Node.js, React, Git, JavaScript"
Full Stack Developer,"SQL, Git, Node.js, JavaScript, React"
DevOps Engineer,"Agile, React"
QA Engineer,"Node.js, TensorFlow, Agile"
UI/UX Designer,"TensorFlow, Node.js, Agile"
Machine Learning Engineer,"Agile, JavaScript"
Frontend Developer,"TensorFlow, SQL, Node.js"
QA Engineer,"Docker, SQL, Node.js, JavaScript"
QA Engineer,"Node.js, SQL, Docker, React, Python"
Data Scientist,"TensorFlow, Agile"
Full Stack Developer,"TensorFlow, React, Python, Node.js"
Backend Developer,"React, Node.js"
QA Engineer,"Git, React, Docker"
Data Scientist,"Agile, Node.js, React, JavaScript, Docker"
Backend Developer,"Python, TensorFlow, React, SQL"
Software Engineer,"Git, TensorFlow, React, Docker"
Frontend Developer,"Docker, TensorFlow, SQL, React"
QA Engineer,"Python, Docker, SQL"
Backend Developer,"Docker, TensorFlow, JavaScript, Node.js, Git"
DevOps Engineer,"SQL, Node.js, Python, Docker, Agile"
DevOps Engineer,"Python, Docker"
Data Scientist,"Docker, JavaScript"
Frontend Developer,"React, JavaScript, Docker"
Product Manager,"Docker, SQL, Git, Agile"
Full Stack Developer,"Agile, Docker"
UI/UX Designer,"TensorFlow, React, Python, SQL, JavaScript"
DevOps Engineer,"Docker, React, TensorFlow, JavaScript, SQL"
Data Scientist,"SQL, Agile, React, JavaScript"
QA Engineer,"Agile, Git"
Full Stack Developer,"Docker, TensorFlow"
Product Manager,"Agile, Python, React, JavaScript, Node.js"
Backend Developer,"JavaScript, React, SQL"
Data Scientist,"Python, Agile, React, SQL"
Data Scientist,"React, TensorFlow, Agile"
UI/UX Designer,"React, Docker, TensorFlow"
Software Engineer,"Python, Agile, Node.js, JavaScript, TensorFlow"
QA Engineer,"SQL, Node.js"
Product Manager,"Agile, Python, SQL"
Data Scientist,"Docker, JavaScript, SQL, Git"
Software Engineer,"Agile, React, Python, SQL"
